id	hash	time	median_time	size	stripped_size	weight	version	version_hex	version_bits	merkle_root	nonce	bits	difficulty	chainwork	coinbase_data_hex	transaction_count	witness_count	input_count	output_count	input_total	input_total_usd	output_total	output_total_usd	fee_total	fee_total_usd	fee_per_kb	fee_per_kb_usd	fee_per_kwu	fee_per_kwu_usd	cdd_total	generation	generation_usd	reward	reward_usd	guessed_miner
759149	00000000000000000003729c7d929225178a0297dddf607f6855387fe0a67b99	2022-10-18 00:17:22	2022-10-17 23:06:29	1244415	916340	3993435	613236736	248d4000	100100100011010100000000000000	1e1b70b0e33df8ebf98d5c1fee6759d394480e6f07c27b00c522c23d4f3b30ca	225903676	386393970	35610794164372	00000000000000000000000000000000000000003760b211e6f61a09e330704c	036d950b1b4d696e656420627920416e74506f6f6c38353028009702cd34e796fabe6d6dffe7a2eb98e6d2256fe897eeb0a661135ee98678a0d631f34366a29b71b1ae0002000000000000000000ad586ed8020000000000	1788	1502	6238	7581	1173157852693	229275168	1173782852693	229397312	19123901	3737.4644	15373.17	3.0044	4790.7974	0.9363	5301.7477258348	625000000	122146.375	644123901	125883.8359	AntPool
759150	00000000000000000000040dae951aa0f405efa9f982a804762535dc0f44d788	2022-10-18 00:34:35	2022-10-17 23:21:36	1463306	843174	3992828	680804352	28944000	101000100101000100000000000000	c983568b81112043bf4726d78124f18866ff1fe68379f03cc41266a81c74a51a	436672356	386393970	35610794164372	00000000000000000000000000000000000000003760d275501603bd721037a6	036e950b049bf44d632f466f756e6472792055534120506f6f6c202364726f70676f6c642f1d1e2f7c5902000000000000	2593	2126	6947	8431	1144426238939	223660032	1145051238939	223782176	13912561	2718.9902	9509.572	1.8586	3485.341	0.6811	33606.367261957	625000000	122146.375	638912561	124865.3672	Foundry USA Pool
759151	0000000000000000000761b61ea5cbf5e5f23e5be46d798866ab0b7d6f89ebdf	2022-10-18 00:38:43	2022-10-17 23:25:21	1709721	761098	3993015	536887300	20004004	100000000000000100000000000100	55ec6ae0ab948d19b7483565e9d0abfdc068faec17392e154e88257f3bf45bf2	2494773101	386393970	35610794164372	00000000000000000000000000000000000000003760f2d8b935ed7100efff00	036f950b0494f54d632f53424943727970746f2e636f6d20506f6f6c2f02779f29f4ee280000000000	2282	2038	8809	6428	855939457059	167279840	856564457059	167401984	3919314	765.968	2292.758	0.4481	981.8002	0.1919	874203.27376539	625000000	122146.375	628919314	122912.3438	SBICrypto
759152	00000000000000000002e432050d1bc3fe58182474b37a863cfaf50b93bc4e75	2022-10-18 00:45:53	2022-10-17 23:26:58	1159905	484180	2612445	536879104	20002000	100000000000000010000000000000	a3a95a5ac8c732341982417ffde17021dc39aea3f1892eb3317daba8940882fe	2187907896	386393970	35610794164372	00000000000000000000000000000000000000003761133c2255d7248fcfc65a	0370950b0442f74d632f466f756e6472792055534120506f6f6c202364726f70676f6c642f12f09a480e41520000000000	998	846	6386	3495	138028921415	26975572	138653921415	27097718	4545637	888.3729	3919.9873	0.7661	1740.721	0.3403	2218.0489869058	625000000	122146.375	629545637	123034.75	Foundry USA Pool
759153	000000000000000000050a6f1799f997443cca6e3d6f59a7a303b7c3b27abb06	2022-10-18 00:52:50	2022-10-17 23:56:23	471018	288278	1335852	536870916	20000004	100000000000000000000000000100	1ae674348bcc86c33ca9a63c8f611f846dcd1b85d4a48677d0c9efdbda1af586	3538707373	386393970	35610794164372	00000000000000000000000000000000000000003761339f8b75c0d81eaf8db4	0371950b04e2f84d632f53424943727970746f2e636f6d20506f6f6c2f027646cf746d380000000000	1000	830	2074	3596	206879270690	40431284	207504270690	40553432	4212187	823.2054	8948.221	1.7487	3155.6597	0.6168	6082.0756404056	625000000	122146.375	629212187	122969.5781	SBICrypto
759154	0000000000000000000613193d51a96f5b0930ed4595797b1940305b0f4b8c75	2022-10-18 01:16:09	2022-10-18 00:17:22	1503865	829841	3993388	601628672	23dc2000	100011110111000010000000000000	74a7b6bc897a9a377a4d96035b8f646efad59ba3e3d2022735bbc65bfbc0b65f	870829486	386393970	35610794164372	000000000000000000000000000000000000000037615402f495aa8bad8f550e	0372950b1b4d696e656420627920416e74506f6f6c3837371c000102e23c12a3fabe6d6d95aae793076f5febf8a1c3cf8aefe4e9e845aeea80881a9f89ab3f860ef0363302000000000000000000d19a3503000000000000	2981	2538	6418	11026	1082545915347	211566496	1083170915347	211688640	13160813	2572.073	8753.864	1.7108	3297.0017	0.6443	39383.725520506	625000000	122146.375	638160813	124718.4453	AntPool
759155	0000000000000000000570630be2ad3fae465010fdd54a3b904889667afedc86	2022-10-18 01:35:15	2022-10-18 00:34:35	1586026	802247	3992767	673652736	28272000	101000001001110010000000000000	e3bf24ea01e84c4a83137969e4804387ea4c07baf19dbbc6aeb4131b366238bb	2402414679	386393970	35610794164372	0000000000000000000000000000000000000000376174665db5943f3c6f1c68	0373950b0b2f4d61726120506f6f6c2f1a01000200000003000000080090cf2bfa760200000000	2218	1887	7890	7684	2563235521320	500943872	2563860521320	501066016	11348821	2217.9478	7156.816	1.3987	2843.094	0.5556	5757.1771225287	625000000	122146.375	636348821	124364.3203	Unknown
759156	000000000000000000039ab980227bced93284b56d2c8081076af746e666b641	2022-10-18 01:45:11	2022-10-18 00:38:43	2182997	603347	3993038	543162368	20600000	100000011000000000000000000000	2cfc728e509dd8a727282324c8acf5d0923c3ab740808a32f6a48c2b6ec0c47b	3920705792	386393970	35610794164372	0000000000000000000000000000000000000000376194c9c6d57df2cb4ee3c2	0374950b0428054e632f466f756e6472792055534120506f6f6c202364726f70676f6c642f2016a60e103c000000000000	1317	1112	6387	4240	1361453781540	266074624	1362078781540	266196768	8589210	1678.6254	3935.1362	0.769	2151.6348	0.4206	5875.715292536	625000000	122146.375	633589210	123825	Foundry USA Pool
759157	000000000000000000071262c5f3d4acff8f48148f5bfa7786320c9aaf81d593	2022-10-18 02:17:25	2022-10-18 00:45:53	1283439	903159	3992916	855244800	32fa0000	110010111110100000000000000000	de8eee6d8bef1df7726e18ec30f93edf6bb3ae4ebe94a640904c902b527b86ee	1232166150	386393970	35610794164372	00000000000000000000000000000000000000003761b52d2ff567a65a2eab1c	0375950b0b2f4d61726120506f6f6c2f1a010002000000030000000800cdbb4c04000000000000	2125	1774	6218	7888	2006827460347	392202720	2007452460347	392324864	18573032	3629.8057	14474.571	2.8289	4652.7217	0.9094	27356.303151272	625000000	122146.375	643573032	125776.1797	Unknown
759158	00000000000000000006bbeb741425e0eeed448e1c10e3cd5d0d7718c9143014	2022-10-18 02:28:30	2022-10-18 00:52:50	1360510	877650	3993460	615940096	24b68000	100100101101101000000000000000	42c1f85bcca572ade41f85c91ea32f49844f29be9bb0360257ce9f3c11872bd8	3586983523	386393970	35610794164372	00000000000000000000000000000000000000003761d59099155159e90e7276	0376950b1362696e616e63652f3837392800f103fc1b86eafabe6d6de8c9e7ffda49bbea9a357b7690473f1b220b1d221278f19cf46803b7a853cb2f02000000000000000000717a9d01000000000000	1953	1560	6615	7027	2560760311335	500460128	2561385311335	500582272	13140544	2568.1116	9661.582	1.8883	3291.8381	0.6434	25875.448889222	625000000	122146.375	638140544	124714.4844	Binance
759159	00000000000000000006367231aba4f0081fc5ecbe9dc3cdbd00c81a0e13e2ab	2022-10-18 02:29:40	2022-10-18 01:16:09	1787750	621724	3652922	538968064	20200000	100000001000000000000000000000	d533a451e58092e652033d82f4530e46cd0a24ade8e2c0539d43e6dc656f656a	1205969481	386393970	35610794164372	00000000000000000000000000000000000000003761f5f402353b0d77ee39d0	0377950b04940f4e632f466f756e6472792055534120506f6f6c202364726f70676f6c642f0e8a469bd9cd000000000000	1275	1128	7847	3021	50630570285	9894945	51255570285	10017091	2646615	517.2391	1480.6652	0.2894	724.73663	0.1417	2244.550966427	625000000	122146.375	627646615	122663.6172	Foundry USA Pool
759160	0000000000000000000159a0c4d4c746082a8af22a4ca30c0806896fc4f690b7	2022-10-18 02:30:40	2022-10-18 01:35:15	125572	48652	271528	536870912	20000000	100000000000000000000000000000	c736aefc555e5a0695094d15182f05bd089e5b9215f7d98d631e81ae297f4b6c	2091258132	386393970	35610794164372	0000000000000000000000000000000000000000376216576b5524c106ce012a	0378950b1b4d696e656420627920416e74506f6f6c383634db000101fce1241cfabe6d6d52c62851bc522a393ca9946ffc21970937cd09f50308356dfffdd344272f6ad902000000000000007e0a0000e534010000000000	145	123	530	360	31081981269	6074482	31706981269	6196628.5	525663	102.7325	4200.6665	0.821	1947.6213	0.3807	34.021386550987	625000000	122146.375	625525663	122249.1094	AntPool
759161	00000000000000000003b92edb4455e773a32efbeaf5db2bea5e019cc0a43dfd	2022-10-18 02:48:00	2022-10-18 01:45:11	1159279	669731	3168472	536903680	20008000	100000000000001000000000000000	433a82843df29c6dc70684d6a977aa59956c95680db620ebc078621e502b6edb	2267099773	386393970	35610794164372	0000000000000000000000000000000000000000376236bad4750e7495adc884	0379950b1362696e616e63652f383638cd0001030314a732fabe6d6d0246e0aca7b1b498eed081436e730c746b650b01b8ea2acd82e947e00b90957902000000000000000000893bcffe1f0100000000	2054	1732	5374	7798	1020697633162	199479232	1021322633162	199601376	8888529	1737.1226	7670.1226	1.499	2806.7253	0.5486	9612.9187671466	625000000	122146.375	633888529	123883.5	Binance
